Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,"	Avg",Ca,St,% Team Runs, Series_Code ,
Lehmann, D S,Australia,29.80%,2,2,0,0,2,0,177,287,67.06,143.5,0,0,492
Love, M L,Australia,10.38%,2,2,1,0,1,1,100*,100,64.52,100,2,0,492
Gilchrist, A C,Australia,4.47%,2,1,0,0,0,0,43,43,91.49,43,9,0,492
Hannan Sarkar,Bangladesh,22.65%,2,4,0,2,0,1,76,166,51.55,41.5,0,0,492,
Langer, J L,Australia,7.48%,2,2,0,1,0,0,71,72,32.73,36,3,0,492
Habibul Bashar,Bangladesh,19.24%,2,4,0,1,0,0,54,141,54.86,35.25,0,0,492,
Ponting, R T,Australia,7.17%,2,2,0,1,0,0,59,69,64.49,34.5,2,0,492
Sanwar Hossain,Bangladesh,8.46%,1,2,0,0,0,0,46,62,41.89,31,0,0,492,
Hayden, M L,Australia,6.33%,2,2,0,1,0,0,50,61,54.46,30.5,1,0,492
Lee, B,Australia,2.39%,2,1,0,0,0,0,23,23,58.97,23,2,0,492
Khaled Mashud,Bangladesh,10.23%,2,4,0,0,0,0,44,75,32.47,18.75,0,0,492,
Al Sahariar Rokon,Bangladesh,4.91%,1,2,0,0,0,1,36,36,59.02,18,0,0,492,
Javed Omar,Bangladesh,6.00%,2,4,0,0,0,0,26,44,36.07,11,3,0,492,
Khaled Mahmud,Bangladesh,5.87%,2,4,0,0,0,1,21,43,57.33,10.75,0,0,492,
Tapash Baisya,Bangladesh,4.23%,2,4,1,0,0,1,25,31,49.21,10.33,0,0,492,
Mashrafe Mortaza,Bangladesh,3.96%,2,4,1,0,0,0,15,29,107.41,9.67,0,0,492,
Mohammad Ashraful,Bangladesh,4.09%,2,4,0,0,0,2,23,30,29.7,7.5,2,0,492,
Alok Kapali,Bangladesh,3.00%,2,4,0,0,0,2,17,22,34.38,5.5,0,0,492,
Anwar Hossain Monir,Bangladesh,0.55%,1,2,1,0,0,0,4,4,44.44,4,0,0,492,
Manjural Islam,Bangladesh,0.14%,1,2,1,0,0,0,1,1,25,1,0,0,492,
Gillespie, J N,Australia,1.66%,2,1,1,0,0,0,16*,16,106.67,-,1,0,492
MacGill, S C G,Australia,,2,0,0,0,0,0,-,0,-,-,2,0,492
McGrath, G D,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,492
Waugh, S R,Australia,26.58%,2,2,2,0,2,0,156*,256,60.38,-,0,0,492
MacGill, S C G,Australia,2,70.1,17,219,17,May-56,3,1,12.88,24.76,3.12,492,,
Gillespie, J N,Australia,2,61.4,14,170,11,Apr-38,0,0,15.45,33.64,2.76,492,,
McGrath, G D,Australia,2,55.1,17,124,5,20-Mar,0,0,24.8,66.2,2.25,492,,
Lee, B,Australia,2,49.2,10,190,6,23-Mar,0,0,31.67,49.33,3.85,492,,
Mashrafe Mortaza,Bangladesh,2,48,14,134,4,Mar-74,0,0,33.5,72,2.79,492,,,
Sanwar Hossain,Bangladesh,1,30,2,128,2,2/128,0,0,64,90,4.27,492,,,
Manjural Islam,Bangladesh,1,24,4,78,1,Jan-78,0,0,78,144,3.25,492,,,
Tapash Baisya,Bangladesh,2,47.5,9,165,2,Jan-69,0,0,82.5,143.5,3.45,492,,,
Alok Kapali,Bangladesh,2,32.2,2,134,1,Jan-65,0,0,134,194,4.14,492,,,
Anwar Hossain Monir,Bangladesh,1,21,4,95,0,0/0,0,0,,,4.52,492,,,
Mohammad Ashraful,Bangladesh,2,6,0,31,0,0/0,0,0,,,5.17,492,,,
